time,date,message
09:58:00,2024-03-03,рятувальники  виявили  у  завалах  тіла  ще  двох  загиблих  внаслідок  удару  по  одесі  у  ніч  на  3  березня  це  жінка  і  немовля ,  якому ,  ймовірно ,  менше  року ,  повідомляє  голова  одеської  ова  олег  кіпер.  кількість  загиблих  у  місті  зросла  до  десяти  людей.  рятувальники  продовжують  розбирати  завали.  3  березня  в  одесі  та  області  оголошено  день  жалоби  за  загиблими.
09:25:41,2024-03-03,третя  хвиля  пусків  каб  по  лбз  в  двох  областях.
09:16:15,2024-03-03,повторні  пуски  по  пологівському  та  покровському  районах  вздовж  лінії  бойового  зіткнення.
08:57:55,2024-03-03,пуски  керованих  авіаційних  бомб  по  покровському  району  донецької  області.
08:57:34,2024-03-03,пуски  керованих  авіаційних  бомб  по  пологівському  району  запорізької  області.
08:56:02,2024-03-03,активність  тактичної  авіації  вздовж  лінії  фронту  на  півдні.  загроза  пусків  каб/кар.
06:51:27,2024-03-03,відбій  загрози  балістики.
06:24:17,2024-03-03,загроза  балістики  зі  сходу.
01:31:17,2024-03-03,пуски  керованих  авіаційних  бомб  по  сумському  району  сумської  області.
01:29:51,2024-03-03,активність  тактичної  авіації  на  півночному  сході.  загроза  застосування  кар/каб.
00:00:33,2024-03-03,обстановка  станом  на  00:00  03.03.24  —  стратегічна  авіація:  не  активна;  —  бпла:  запуски  ударних  бпла  не  фіксувались ,  проте  не  виключаються  впродовж  ночі;  —  флот:  ракетоносії  в  портах  базування.  обстановка
